client1,client2,value1,time
377661680043425793,494324632732827661,131.4,2023-06-12 21:26:54.374068-04:00
901259118029979648,757652181733212420,6.6,2023-06-12 21:31:20.380034-04:00
901259118029979648,604887159823925259,6.6,2023-06-12 21:31:20.385311-04:00
901259118029979648,1081514733179515065,6.6,2023-06-12 21:31:20.390341-04:00
901259118029979648,327632995827843072,6.6,2023-06-12 21:31:20.395329-04:00
901259118029979648,586016169182494720,6.6,2023-06-12 21:31:20.400690-04:00
451201495795236869,664539711188107268,131.4,2023-06-12 21:32:35.334992-04:00
451201495795236869,1099135223247147143,335.1,2023-06-23 12:32:42.049301-04:00
357665910498000898,617595835122974730,6.6,2023-06-12 21:41:18.844616-04:00
451201495795236869,515741172098924547,131.4,2023-06-12 22:08:59.074785-04:00
451201495795236869,377661680043425793,131.4,2023-06-12 22:08:59.079748-04:00
576962723540369454,515741172098924547,131.4,2023-06-12 22:10:33.920893-04:00
576962723540369454,377661680043425793,131.4,2023-06-12 22:10:33.925586-04:00
341997113393283093,729836457396797522,6.6,2023-06-12 22:34:48.701501-04:00
456034249204826124,866223309736509471,579.9,2023-06-22 22:19:43.361007-04:00
456034249204826124,943519937056628787,247.5,2023-06-17 09:12:53.387268-04:00
456034249204826124,576962723540369454,112.5,2023-06-12 22:39:19.221637-04:00
456034249204826124,415782683889893376,122.4,2023-06-18 00:18:09.314559-04:00
456034249204826124,665430191710928896,112.5,2023-06-12 22:41:46.954749-04:00
998814179874058240,664300862004527169,6.6,2023-06-12 22:58:00.133973-04:00
456034249204826124,314578645589032960,44.1,2023-06-16 23:17:06.374749-04:00
491771607723802646,784624817046421515,6.6,2023-06-12 23:01:34.309237-04:00
491771607723802646,630543219461193738,6.6,2023-06-12 23:01:34.313753-04:00
491771607723802646,534099262292623381,13.2,2023-06-16 19:49:31.771139-04:00
491771607723802646,420882722425143298,6.6,2023-06-12 23:01:34.322692-04:00
491771607723802646,875652932287209522,13.2,2023-06-15 13:30:57.877277-04:00
491771607723802646,590522801463754764,19.8,2023-06-16 10:15:58.511376-04:00
341416131497820160,791847777918255115,6.6,2023-06-12 23:16:29.393519-04:00
480561103068200990,414980538110050315,6.6,2023-06-12 23:19:08.778251-04:00
737413108775256135,590522801463754764,6.6,2023-06-12 23:20:11.401152-04:00
